Industry,NSE Codes
Auto Ancillaries,"ARE&M, ASKAUTOLTD, BANCOINDIA, BBTC, BOSCHLTD, CRAFTSMAN, ENDURANCE, EXIDEIND, FIEMIND, GABRIEL, HBLPOWER, JAMNAAUTO, JBMA, JTEKTINDIA, LGBBROSLTD, MINDACORP, MSUMI, PRICOLLTD, MOTHERSON, SANSERA, SHARDAMOTR, SONACOMS, SSWL, SUNDRMFAST, SUPRAJIT, UNOMINDA, VARROC, ZFCVINDIA"
Electronics - Components,"AMBER, AVALON, BEL, CYIENTDLM, DATAPATTNS, DCXINDIA, HONAUT, KAYNES, PGEL, SYRMA"
Steel - Large,"APLAPOLLO, GPIL, JAIBALAJI, JINDALSAW, JSL, JSWSTEEL, SAIL, SHYAMMETL, SURYAROSNI, TATASTEEL, TIINDIA, WELCORP"
Healthcare,"APOLLOHOSP, ASTERDM, LALPATHLAB, FORTIS, MEDANTA, JLHL, KIMS, KRSNAA, MAXHEALTH, METROPOLIS, NH, POLYMED, RAINBOW, VIJAYA, YATHARTH"
Tyres,"APOLLOTYRE, BALKRISIND, CEATLTD, JKTYRE, MRF"
Textiles - Cotton/Blended,"ARVIND, ICIL, TRIDENT, VTL"
Glass & Glass Products,"ASAHIINDIA, BORORENEW, LAOPALA"
Automobiles - LCVs / HCVs,"ASHOKLEY, OLECTRA, TATAMOTORS"
Engineering - Turnkey Services,"ASHOKA, ENGINERSIN, GMRINFRA, HFCL, ISGEC, LT, POWERMECH, RELINFRA, SWSOLAR, TECHNOE, WABAG"
Paints / Varnishes,"ASIANPAINT, BERGEPAINT, INDIGOPNTS, KANSAINER"
Telecommunications - Equipment,"ASTRAMICRO, ITI, TEJASNET"
Plastics Products,"ASTRAL, FINPIPE, JAICORPLTD, JISLJALEQS, PRINCEPIPE, RESPONIND, SUPREMEIND, TIMETECHNO"
Banks - Private Sector,"AUBANK, AXISBANK, BANDHANBNK, CUB, CSBBANK, DCBBANK, EQUITASBNK, ESAFSFB, FEDERALBNK, HDFCBANK, ICICIBANK, IDBI, IDFCFIRSTB, INDUSINDBK, J&KBANK, KTKBANK, KARURVYSYA, KOTAKBANK, RBLBANK, SOUTHBANK, TMB, UJJIVANSFB, UTKARSHBNK, YESBANK"
Food - Processing - Indian,"AVANTIFEED, BIKAJI, DODLA, GODREJAGRO, HERITGFOOD, HMAAGRO, KRBL, LTFOODS, BECTORFOOD, VBL, ZYDUSWELL"
Refineries,"BPCL, CHENNPETRO, HINDPETRO, IOC, MRPL, RELIANCE"
Automobiles - Scooters And 3 - Wheelers,BAJAJ-AUTO
Personal Care - Indian,"BAJAJCON, DABUR, EMAMILTD, GODREJCP, JYOTHYLAB"
Sugar,"BAJAJHIND, BALRAMCHIN, DALMIASUG, EIDPARRY, RENUKA, TRIVENI"
Banks - Public Sector,"BANKBARODA, BANKINDIA, MAHABANK, CANBK, CENTRALBK, IOB, INDIANB, PNB, SBIN, UCOBANK, UNIONBANK"
Hotels,"BARBEQUE, CHALET, DEVYANI, EIHOTEL, INDHOTEL, JUBLFOOD, JUNIPER, LEMONTREE, MHRIL, RBA, SAMHI, SAPPHIRE, WESTLIFE"
Leather / Leather Products,"BATAINDIA, CAMPUS, METROBRAND"
Pesticides / Agrochemicals - Multinational,BAYERCROP
Petrochemicals,"BEPL, SPLPETRO"
Telecommunications - Service Provider,"BHARTIARTL, HATHWAY, NAZARA, RAILTEL, TATACOMM, TTML, IDEA"
Couriers,BLUEDART
Air-conditioners,"BLUESTARCO, JCHAC, VOLTAS"
Textiles - Manmade,"BOMDYEING, GRASIM"
Food - Processing - MNC,"BRITANNIA, NESTLEIND"
Abrasives And Grinding Wheels,"CARBORUNIV, GRINDWELL"
Tea,"CCL, TATACONSUM"
Paper,"CENTURYTEX, JKPAPER, WSTCSTPAPR"
Ceramics - Tiles / Sanitaryware,"CERA, KAJARIACER"
Fertilizers,"CHAMBLFERT, COROMANDEL, FACT, GSFC, NFL, PARADEEP, RCF"
Mining / Minerals / Metals,"COALINDIA, GMDCLTD, GRAVITA, HINDCOPPER, HINDZINC, IMFA, LLOYDSME, MAITHANALL, MOIL, NMDC, ORISSAMINE, SANDUMA, SBCL, VEDL"
Personal Care - Multinational,"COLPAL, GILLETTE, HINDUNILVR, PGHH"
Engines,"CUMMINSIND, GREAVESCOT, KIRLOSENG"
Entertainment / Electronic Media Software,"DBCORP, DEN, DISHTV, NETWORK18, PVRINOX, SAREGAMA, SUNTV, TIPSINDLTD, TV18BRDCST, ZEEL"
Cement - South India,"DALBHARAT, INDIACEM, ORIENTCEM, SAGCEM, RAMCOCEM"
Diversified - Mega,DCMSHRIRAM
Recreation / Amusement Parks,"DELTACORP, WONDERLA"
Pesticides / Agrochemicals - Indian,"DHANUKA, IPL, PIIND, RALLIS, SUMICHEM, UPL"
Electronics - Consumer,DIXON
Printing & Stationery,"DOMS, FLAIR, NAVNETEDUL"
Travel Agencies,"EASEMYTRIP, IRCTC, THOMASCOOK"
Automobiles - Motorcycles / Mopeds,"EICHERMOT, HEROMOTOCO, TVSMOTOR"
Compressors / Drilling Equipment,"ELGIEQUIP, INGERRAND"
Chlor Alkali / Soda Ash,"EPIGRAL, GUJALKALI"
Automobiles - Tractors,"ESCORTS, VSTTILLERS"
Dry Cells,EVEREADY
Cables - Power,"FINCABLES, KEI, POLYCAB, RRKABEL"
Shipping,"GESHIP, SCI"
Breweries & Distilleries,"GLOBUSSPR, INDIAGLYCO, RADICO, SULA, TI, UBL, UNITDSPR"
Cigarettes,"GODFRYPHLP, ITC"
Electrodes - Graphites,"GRAPHITE, HEG"
Computers - Software - Large,"HCLTECH, INFY, LTTS, LTIM, MPHASIS, PERSISTENT, TCS, TECHM, WIPRO"
Oil Drilling / Allied Services,"HINDOILEXP, ONGC, OIL"
Aluminium and Aluminium Products,"HINDALCO, NATIONALUM"
Finance - Term-Lending Institutions,"IRFC, IFCI, PFC, RECLTD"
Domestic Appliances,"IFBIND, ORIENTELEC, TTKPRESTIG, WHIRLPOOL"
Transmisson Line Towers / Equipment,"INDUSTOWER, KEC, KPIL"
Transport - Airlines,INDIGO
Steel - Sponge Iron,JINDALSTEL
Steel - Medium / Small,"JTLIND, KSL, MAHSEAMLES, MIDHANI, NSLNISP, RATNAMANI, SARDAEN, SUNFLAG, USHAMART"
Diamond Cutting / Jewellery,"KALYANKJIL, RAJESHEXPO, SENCO, TITAN, VAIBHAVGBL"
Pumps,"KIRLOSBROS, KSB"
Textiles - Composite,LUXIND
Automobiles - Passenger Cars,"M&M, MARUTI"
Computers - Hardware,NETWEB
Computers - Education,NIITMTS
Bearings,"NRBBEARING, SCHAEFFLER, SKFINDIA, TIMKEN"
Refractories / Intermediates,RHIM
Moulded Luggage,"SAFARI, VIPIND"
Cables - Telephone,STLTECH
Dyes And Pigments,SUDARSCHEM
Diversified - Medium / Small,SWANENERGY
