Unnamed: 0,Date,FIIcall,FIIput,FIIFuture,FIIFutOI,FIICash,DIIcash,feat_PE,feat_PB,feat_Div_Yield,Open,High,Low,Close,USDINR
0.0,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,11.62,2.07,1.83,886.75,892.2,882.6,890.8,0.0
0.0,1999-01-04,0.0,0.0,0.0,0.0,0.0,0.0,11.72,2.08,1.81,896.4,905.45,895.75,897.8,0.0
0.0,1999-01-05,0.0,0.0,0.0,0.0,0.0,0.0,11.84,2.11,1.79,901.0,907.2,893.15,907.2,0.0
0.0,1999-01-06,0.0,0.0,0.0,0.0,0.0,0.0,12.11,2.16,1.75,923.3,930.55,915.65,928.25,0.0
0.0,1999-01-07,0.0,0.0,0.0,0.0,0.0,0.0,12.46,2.22,1.71,932.95,961.15,932.95,954.7,0.0
0.0,1999-01-08,0.0,0.0,0.0,0.0,0.0,0.0,12.92,2.3,1.64,969.95,990.05,966.4,990.05,0.0
0.0,1999-01-11,0.0,0.0,0.0,0.0,0.0,0.0,12.86,2.29,1.65,1005.15,1016.3,985.6,985.6,0.0
0.0,1999-01-12,0.0,0.0,0.0,0.0,0.0,0.0,12.59,2.24,1.69,976.7,985.55,953.9,964.45,0.0
0.0,1999-01-13,0.0,0.0,0.0,0.0,0.0,0.0,12.54,2.23,1.69,980.3,986.25,958.05,961.2,0.0
0.0,1999-01-14,0.0,0.0,0.0,0.0,0.0,0.0,12.46,2.22,1.7,948.0,968.4,944.5,954.75,0.0
0.0,1999-01-15,0.0,0.0,0.0,0.0,0.0,0.0,12.19,2.17,1.74,961.7,967.85,932.25,934.3,0.0
0.0,1999-01-18,0.0,0.0,0.0,0.0,0.0,0.0,12.33,2.19,1.72,938.65,945.05,922.8,944.9,0.0
0.0,1999-01-19,0.0,0.0,0.0,0.0,0.0,0.0,12.06,2.15,1.76,944.15,948.0,923.2,924.1,0.0
0.0,1999-01-21,0.0,0.0,0.0,0.0,0.0,0.0,12.84,2.29,1.65,935.15,967.2,932.8,967.2,0.0
0.0,1999-01-22,0.0,0.0,0.0,0.0,0.0,0.0,12.71,2.26,1.67,976.6,980.45,955.15,957.05,0.0
0.0,1999-01-25,0.0,0.0,0.0,0.0,0.0,0.0,12.61,2.24,1.68,954.35,956.65,935.0,949.8,0.0
0.0,1999-01-27,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2.29,1.65,968.55,985.25,967.65,971.3,0.0
0.0,1999-01-28,0.0,0.0,0.0,0.0,0.0,0.0,12.68,2.26,1.68,971.2,976.75,954.25,955.1,0.0
0.0,1999-01-29,0.0,0.0,0.0,0.0,0.0,0.0,12.83,2.28,1.66,956.8,966.35,952.7,966.2,0.0
0.0,1999-02-01,0.0,0.0,0.0,0.0,0.0,0.0,12.48,2.22,1.7,962.4,968.05,940.15,940.15,0.0
0.0,1999-02-02,0.0,0.0,0.0,0.0,0.0,0.0,12.36,2.2,1.72,940.1,945.15,924.95,931.2,0.0
0.0,1999-02-03,0.0,0.0,0.0,0.0,0.0,0.0,12.64,2.25,1.69,948.0,955.55,940.75,952.4,0.0
0.0,1999-02-04,0.0,0.0,0.0,0.0,0.0,0.0,12.48,2.22,1.71,957.15,958.8,937.5,939.7,0.0
0.0,1999-02-05,0.0,0.0,0.0,0.0,0.0,0.0,12.43,2.21,1.71,939.65,943.7,930.1,936.3,0.0
0.0,1999-02-08,0.0,0.0,0.0,0.0,0.0,0.0,12.17,2.17,1.75,937.75,940.9,916.5,916.5,0.0
0.0,1999-02-09,0.0,0.0,0.0,0.0,0.0,0.0,12.28,2.18,1.73,914.7,924.75,907.45,924.75,0.0
0.0,1999-02-10,0.0,0.0,0.0,0.0,0.0,0.0,12.74,2.27,1.67,938.8,959.6,935.2,959.45,0.0
0.0,1999-02-11,0.0,0.0,0.0,0.0,0.0,0.0,12.75,2.27,1.67,966.85,973.7,958.15,960.05,0.0
0.0,1999-02-12,0.0,0.0,0.0,0.0,0.0,0.0,12.88,2.29,1.62,965.7,972.75,962.35,970.25,0.0
0.0,1999-02-15,0.0,0.0,0.0,0.0,0.0,0.0,12.67,2.26,1.64,974.1,976.85,954.55,954.55,0.0
0.0,1999-02-16,0.0,0.0,0.0,0.0,0.0,0.0,12.73,2.27,1.63,952.55,960.25,951.5,958.9,0.0
0.0,1999-02-17,0.0,0.0,0.0,0.0,0.0,0.0,12.87,2.29,1.64,970.1,978.75,953.1,969.05,0.0
0.0,1999-02-18,0.0,0.0,0.0,0.0,0.0,0.0,12.92,2.3,1.63,974.15,989.15,968.7,973.45,0.0
0.0,1999-02-19,0.0,0.0,0.0,0.0,0.0,0.0,12.96,2.31,1.63,979.4,985.4,975.85,976.3,0.0
0.0,1999-02-22,0.0,0.0,0.0,0.0,0.0,0.0,12.66,2.25,1.66,978.5,978.85,953.6,953.85,0.0
0.0,1999-02-23,0.0,0.0,0.0,0.0,0.0,0.0,12.61,2.24,1.67,949.3,952.65,938.65,949.65,0.0
0.0,1999-02-24,0.0,0.0,0.0,0.0,0.0,0.0,12.72,2.26,1.66,959.8,961.4,947.95,957.65,0.0
0.0,1999-02-25,0.0,0.0,0.0,0.0,0.0,0.0,12.68,2.26,1.66,954.7,962.6,951.9,954.3,0.0
0.0,1999-02-26,0.0,0.0,0.0,0.0,0.0,0.0,12.51,2.23,1.66,955.4,955.75,938.2,941.2,0.0
0.0,1999-02-27,0.0,0.0,0.0,0.0,0.0,0.0,13.04,2.32,1.59,947.35,981.55,932.2,981.3,0.0
0.0,1999-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13.5,2.4,1.54,992.45,1018.4,984.45,1015.8,0.0
0.0,1999-03-03,0.0,0.0,0.0,0.0,0.0,0.0,13.98,2.49,1.49,1066.4,1073.05,1051.8,1051.8,0.0
0.0,1999-03-04,0.0,0.0,0.0,0.0,0.0,0.0,13.83,2.46,1.5,1056.85,1060.55,1030.45,1041.2,0.0
0.0,1999-03-05,0.0,0.0,0.0,0.0,0.0,0.0,14.01,2.49,1.48,1043.45,1061.4,1033.8,1054.4,0.0
0.0,1999-03-08,0.0,0.0,0.0,0.0,0.0,0.0,14.25,2.53,1.46,1064.35,1080.3,1056.85,1072.1,0.0
0.0,1999-03-09,0.0,0.0,0.0,0.0,0.0,0.0,14.33,2.55,1.45,1074.25,1084.65,1071.75,1078.3,0.0
0.0,1999-03-10,0.0,0.0,0.0,0.0,0.0,0.0,14.35,2.55,1.46,1099.15,1099.8,1062.7,1078.8,0.0
0.0,1999-03-11,0.0,0.0,0.0,0.0,0.0,0.0,14.09,2.51,1.48,1080.15,1085.4,1059.6,1059.6,0.0
0.0,1999-03-12,0.0,0.0,0.0,0.0,0.0,0.0,14.26,2.54,1.37,1066.85,1074.15,1057.1,1072.6,0.0
0.0,1999-03-15,0.0,0.0,0.0,0.0,0.0,0.0,14.28,2.54,1.37,1073.15,1082.5,1063.45,1073.9,0.0
0.0,1999-03-16,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.49,1.39,1068.85,1075.7,1052.9,1053.1,0.0
0.0,1999-03-17,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2.51,1.51,1078.2,1088.55,1057.75,1060.6,0.0
0.0,1999-03-18,0.0,0.0,0.0,0.0,0.0,0.0,14.29,2.54,1.49,1061.4,1074.6,1058.25,1074.6,0.0
0.0,1999-03-19,0.0,0.0,0.0,0.0,0.0,0.0,14.13,2.52,1.5,1080.7,1083.15,1056.4,1062.9,0.0
0.0,1999-03-20,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2.51,1.5,1063.15,1063.65,1053.6,1060.3,0.0
0.0,1999-03-22,0.0,0.0,0.0,0.0,0.0,0.0,14.13,2.52,1.5,1052.6,1066.6,1044.1,1063.0,0.0
0.0,1999-03-23,0.0,0.0,0.0,0.0,0.0,0.0,14.27,2.54,1.49,1063.95,1079.85,1063.9,1072.9,0.0
0.0,1999-03-24,0.0,0.0,0.0,0.0,0.0,0.0,14.13,2.51,1.51,1091.15,1091.9,1047.05,1062.8,0.0
0.0,1999-03-25,0.0,0.0,0.0,0.0,0.0,0.0,14.03,2.5,1.52,1057.95,1068.15,1053.3,1054.9,0.0
0.0,1999-03-26,0.0,0.0,0.0,0.0,0.0,0.0,13.85,2.46,1.53,1054.95,1057.8,1033.0,1041.2,0.0
0.0,1999-03-30,0.0,0.0,0.0,0.0,0.0,0.0,14.02,2.5,1.51,1036.0,1054.65,1028.45,1054.6,0.0
0.0,1999-03-31,0.0,0.0,0.0,0.0,0.0,0.0,16.53,2.84,1.48,1076.95,1090.4,1073.65,1078.0,0.0
0.0,1999-04-01,0.0,0.0,0.0,0.0,0.0,0.0,16.31,2.8,1.5,1082.55,1084.05,1062.45,1063.4,0.0
0.0,1999-04-05,0.0,0.0,0.0,0.0,0.0,0.0,15.51,2.66,1.56,1030.65,1036.45,1008.35,1011.4,0.0
0.0,1999-04-06,0.0,0.0,0.0,0.0,0.0,0.0,15.71,2.7,1.54,999.8,1025.95,993.0,1024.2,0.0
0.0,1999-04-07,0.0,0.0,0.0,0.0,0.0,0.0,15.81,2.72,1.54,1027.35,1043.4,1027.0,1031.0,0.0
0.0,1999-04-08,0.0,0.0,0.0,0.0,0.0,0.0,15.65,2.69,1.55,1033.0,1036.95,1015.3,1020.3,0.0
0.0,1999-04-09,0.0,0.0,0.0,0.0,0.0,0.0,15.24,2.62,1.6,1021.55,1022.15,989.75,993.4,0.0
0.0,1999-04-12,0.0,0.0,0.0,0.0,0.0,0.0,15.31,2.63,1.59,984.55,999.65,972.7,998.2,0.0
