Index Name,1M,3M,1 Yr,3 Yr,5 Yr,Volatility (%) 1 Yr,Beta 1 Yr,Correlation R 1 Yr,P/E,P/B,Dividend Yield
Nifty Top 20 Equal Weight,-7.06,-1.86,26.65,15.09,17.93,12.33,0.89,0.97,0.93,23.07,4.34,1.16
Nifty Auto,-12.99,-11.65,48.82,28.80,24.00,18.00,0.99,0.74,0.55,23.11,4.82,0.93
Nifty Bank,-2.84,0.07,21.21,10.51,12.00,17.26,1.10,0.86,0.73,14.14,2.31,0.96
Nifty Financial Services,-2.42,2.24,25.63,9.34,12.87,16.87,1.10,0.88,0.77,16.70,2.89,0.90
Nifty FMCG,-9.65,-4.54,17.72,17.72,14.80,13.36,0.46,0.46,0.21,46.99,11.52,1.79
Nifty IT,-3.12,-0.51,34.87,7.61,23.38,19.58,0.74,0.51,0.26,31.99,8.32,2.10
Nifty Media,-5.57,-5.97,-7.82,-3.00,3.18,29.27,1.05,0.48,0.23,-,2.36,0.39
Nifty Metal,-8.55,-2.38,45.31,20.52,32.09,25.51,1.44,0.76,0.57,32.08,2.67,2.26
Nifty Pharma,-2.34,4.59,55.88,18.80,24.53,14.38,0.48,0.45,0.20,37.34,5.52,0.59
Nifty Private Bank,-4.84,-1.63,14.33,8.48,9.32,17.06,1.06,0.84,0.70,15.10,2.34,0.59
Nifty PSU Bank,-0.46,-9.08,37.28,35.22,22.82,29.53,1.58,0.72,0.52,7.80,1.30,2.21
Nifty Realty,-9.05,-8.55,66.22,26.49,30.47,27.46,1.35,0.66,0.44,47.56,5.69,0.38
Nifty Financial Services 25/50,-4.23,0.32,30.96,12.87,15.26,17.55,1.16,0.89,0.78,16.92,3.03,0.93
Nifty Consumer Durables,-10.23,-1.32,40.32,12.10,18.69,15.65,0.78,0.67,0.45,79.78,12.43,0.38
Nifty Oil & Gas,-12.95,-14.10,50.24,15.37,17.99,24.62,1.42,0.77,0.60,13.16,1.72,3.05
Nifty Healthcare Index,-2.20,5.10,56.80,19.61,25.73,14.27,0.49,0.46,0.21,42.43,6.08,0.52
Nifty Financial Services Ex-Bank,-6.91,1.28,29.35,12.34,15.45,19.32,1.16,0.80,0.64,22.67,3.28,0.82
Nifty MidSmall Financial Services,-2.02,4.71,42.46,22.94,19.36,21.02,1.17,0.74,0.56,23.34,2.84,0.63
Nifty MidSmall Healthcare,1.17,10.59,65.93,22.73,27.92,14.32,0.53,0.49,0.24,53.96,6.22,0.82
Nifty MidSmall IT & Telecom,-6.81,-7.39,30.59,15.17,37.84,20.86,1.07,0.69,0.47,-,36.87,0.90
