TATACOFFEE,           Ratio_name Ratio_value company_name
9   equity_repurchase           1        NOCIL
10         asset_turn           0        NOCIL
11          fs_margin           0        NOCIL
ALOKINDS,           Ratio_name Ratio_value company_name
0       margin_growth     1.39759     ALOKINDS
1       margin_safety    0.301765     ALOKINDS
2             ROA_pos           0     ALOKINDS
3               fcfta           0     ALOKINDS
4         accrual_pos           0     ALOKINDS
5              fs_roa           0     ALOKINDS
6           f_accrual           0     ALOKINDS
7               lever           0     ALOKINDS
8              liquid           1     ALOKINDS
9   equity_repurchase           0     ALOKINDS
10         asset_turn           0     ALOKINDS
11          fs_margin           1     ALOKINDS
BLUESTARCO,           Ratio_name Ratio_value company_name
0       margin_growth    0.918544   BLUESTARCO
1       margin_safety  -0.0897042   BLUESTARCO
2             ROA_pos           1   BLUESTARCO
3               fcfta           0   BLUESTARCO
4         accrual_pos           1   BLUESTARCO
5              fs_roa           0   BLUESTARCO
6           f_accrual           0   BLUESTARCO
7               lever           1   BLUESTARCO
8              liquid           0   BLUESTARCO
9   equity_repurchase           0   BLUESTARCO
10         asset_turn           0   BLUESTARCO
11          fs_margin           1   BLUESTARCO
GSFC,           Ratio_name Ratio_value company_name
0       margin_growth    0.957433         GSFC
1       margin_safety       2.067         GSFC
2             ROA_pos           1         GSFC
3               fcfta           1         GSFC
4         accrual_pos           1         GSFC
5              fs_roa           1         GSFC
6           f_accrual           0         GSFC
7               lever           1         GSFC
8              liquid           0         GSFC
9   equity_repurchase           0         GSFC
10         asset_turn           0         GSFC
11          fs_margin           1         GSFC
NHPC,           Ratio_name Ratio_value company_name
0       margin_growth     0.98445         NHPC
1       margin_safety     7.12623         NHPC
2             ROA_pos           1         NHPC
3               fcfta           1         NHPC
4         accrual_pos           1         NHPC
5              fs_roa           1         NHPC
6           f_accrual           0         NHPC
7               lever           1         NHPC
8              liquid           1         NHPC
9   equity_repurchase           0         NHPC
10         asset_turn           0         NHPC
11          fs_margin           1         NHPC
HAVELLS,           Ratio_name Ratio_value company_name
